OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
142,,229141390,Ichangunarayan Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Ichangunarayan Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""T-shape"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""5"", ""capacity:beds""=>""0"", ""operator:type""=>""go"
143,,229142491,Bhimdhunga Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Bhimdhunga Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:materia"
144,,230055223,,,,hospital,,,,yes,,,,,,,,,,,,,,,
145,,230055228,Pediatrics and Gyn/Obs,,,hospital,,,,yes,,,,,,,,,,,,,,,
146,,231049689,College of Dental Science and Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""1990-2000"", ""column:size""=>""22x22"", ""facility:icu""=>""no"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:x""=>""13"", ""building:bay:y""=>""6"", ""buildin"
147,,231628208,Life Care Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Life Care Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""yes"", ""capacity:beds""=>""36"", ""operator:type""=>""private"", ""roof:material""=>"""
148,,231629043,Anmol Medical Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Anmol Medical Center"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""U-shape"", ""start_date""=>""before_1960"", ""facility:icu""=>""no"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""metal"", ""building:ba"
149,,231630359,Capital Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Capital Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""14x14"", ""facility:icu""=>""no"", ""capacity:beds""=>""10"", ""operator:type""=>""private"", ""roof:material""=>"
150,,236736871,मत्रिसिसु मितेरी हस्पिटल,,,hospital,,,,yes,,,,,,,,,,,,,,,"""name:en""=>""Maternity Child Friendship Hospital"", ""addr:city""=>""Pokhara"", ""emergency""=>""yes"", ""addr:street""=>""Batulechaur"""
151,,240358404,swatha parichyan,,,hospital,,,,yes,,,,,,,,,,,,,,,"""service""=>""health"""
152,,249747796,Lukla Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
153,,252471594,Koshi Zonal Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""emergency""=>""no"""
154,,252689390,Sharmali Health Center,,,clinic,,,,yes,,,,,,,,,,,,,,,
155,,253152629,Janakpur Zonal Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""emergency""=>""yes"", ""wheelchair""=>""yes"", ""addr:housename""=>""Janakpur Municipality"""
156,,262821660,Aragyoga Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
157,,264506798,Mechi Eye Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
158,,273409431,,,,health_post,,,,yes,,,,,,,,,,,,,,,
159,,301884716,National Ayurvedic Research and Training Center,,,hospital,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Tribhuwan University"""
160,,302548412,Bharatpur eye hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
161,,311686821,health post,,,hospital,,,,yes,,,,,,,,,,,,,,,
162,,312966050,Phaplu Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""phone""=>""038-626585 , 622241"""
163,,314372567,Army Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
164,,314372568,army health post,,,hospital,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Nepal Army Satbaini Gad"""
165,,317139834,Lubhoo Health Post,,,clinic,,,,yes,,,,,,,,,,,,,,,
166,,324729915,Shree Tribhuwan Chandra Sainik Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""designation""=>""Trauma Hospital"""
167,,327288874,Niko Children's Hospital & Research Center (P) Ltd,,,hospital,,,,yes,,,,,,,,,,,,,,,
168,,327966961,Mary Healthcare Center cum Dental Home & Research Center,,,hospital,,,,yes,,,,,,,,,,,,,,,
